user_id,gender,married,has_children,home_country,home_city,home_airport,user_age,account_age,total_sessions,avg_session_duration,avg_page_clicks,avg_clicks_per_min,avg_seats,avg_checked_bags,num_trip_discounts,avg_trip_discount_amount,total_airlines,top_airline,total_origin_airports,total_destinations,top_destination,total_destination_airports,avg_rooms,total_hotels,total_hotel_brands,top_hotel_brand,total_trips,avg_trip_duration_days,avg_trip_distance_km,avg_base_trip_cost,avg_total_trip_cost,type_browsing,type_complete-package,type_flight-hotel,type_flight-one-way,type_flight-roundtrip,type_hotel-only,status_cancelled,status_complete,status_none,category_extended,category_other,category_week,category_weekend,browsing_frequency,booking_frequency,booking_conversion,cancellation_rate,top_booking_type,top_trip_category
23557,f,True,False,usa,new york,lga,66,41,8,1.2762499999999999,10.25,7.97875,0.0,0.0,2,0.175,0,,0,0,,0,0.375,2,2,extended stay,2,2.75,,314.75,290.09375,6,0,0,0,0,2,0,2,6,1,1,0,0,0.2,0.05,0.25,0.0,type_browsing,category_extended
94883,f,True,False,usa,kansas city,mci,52,34,8,1.13,9.125,8.03625,0.375,0.125,1,0.1,2,delta air lines,1,2,jacksonville,2,0.375,2,2,four seasons,2,0.625,1453.67,146.76125,146.76125,6,2,0,0,0,0,0,2,6,0,1,1,0,0.24,0.06,0.25,0.0,type_browsing,category_other
101486,f,True,True,usa,tacoma,tcm,52,34,8,2.0375,16.375,8.04125,0.125,0.0,2,0.07500000000000001,1,united airlines,1,1,edmonton,1,0.375,2,2,banyan tree,2,1.375,965.34,258.23875,258.23875,6,1,0,0,0,1,0,2,6,2,0,0,0,0.24,0.06,0.25,0.0,type_browsing,category_extended
101961,f,True,False,usa,boston,bos,44,34,8,1.96375,15.75,8.04625,0.625,0.25,3,0.13333333333333333,5,air new zealand,1,5,charlotte,5,0.625,5,5,accor,5,3.625,1321.682,543.9575,535.0866249999999,3,5,0,0,0,0,0,5,3,4,0,0,1,0.24,0.15,0.62,0.0,type_complete-package,category_extended
106907,f,True,True,usa,miami,tnt,46,34,8,12.6475,30.0,7.09875,1.5,1.25,0,,1,air mauritius,1,1,durban,1,0.75,1,1,shangri-la,2,3.5,13402.32,3862.515,3862.515,6,2,0,0,0,0,1,1,6,2,0,0,0,0.24,0.06,0.25,0.5,type_browsing,category_extended
118043,f,False,True,usa,los angeles,lax,52,33,8,2.5524999999999998,20.5,8.0625,0.75,0.375,4,0.1875,3,american airlines,1,3,el paso,3,0.625,3,2,fairmont,5,4.0,2455.0266666666666,1108.16125,1032.469625,3,2,0,0,1,2,0,5,3,3,2,0,0,0.24,0.15,0.62,0.0,type_browsing,category_extended
120851,f,True,True,usa,santa ana,sna,52,33,8,0.86375,6.875,7.86875,0.125,0.0,2,0.22499999999999998,1,delta air lines,1,1,edmonton,1,0.125,1,1,best western,1,1.625,2249.83,298.335,298.335,7,1,0,0,0,0,0,1,7,1,0,0,0,0.24,0.03,0.12,0.0,type_browsing,category_extended
125845,f,True,False,usa,el paso,bif,41,33,9,2.197777777777778,17.666666666666668,8.075555555555557,0.4444444444444444,0.2222222222222222,2,0.1,3,airtran airways,1,3,indianapolis,3,0.4444444444444444,3,2,four seasons,3,1.4444444444444444,2700.78,269.0355555555555,253.9292222222222,6,3,0,0,0,0,0,3,6,1,1,1,0,0.27,0.09,0.33,0.0,type_browsing,category_extended
133058,f,False,False,usa,austin,aus,19,33,8,1.13625,9.125,7.96,0.125,0.0,1,0.05,1,united airlines,1,1,montreal,1,0.0,0,0,,1,0.625,2708.29,52.93875,52.93875,7,0,0,0,1,0,0,1,7,1,0,0,0,0.24,0.03,0.12,0.0,type_browsing,category_extended
149058,f,False,True,usa,birmingham,bhm,51,32,8,2.195,17.75,8.063749999999999,0.75,0.25,1,0.05,5,alaska airlines,1,5,austin,5,0.75,5,5,accor,5,4.75,1904.7540000000001,974.5825,970.8415625,3,5,0,0,0,0,0,5,3,3,1,1,0,0.25,0.16,0.62,0.0,type_complete-package,category_extended
