user_id,gender,married,has_children,home_country,home_city,home_airport,user_age,account_age,total_sessions,avg_session_duration,avg_page_clicks,avg_clicks_per_min,avg_seats,avg_checked_bags,avg_flight_base_fare,avg_flight_paid_fare,num_flight_discounts,avg_flight_discount_amount,total_airlines,total_origin_airports,total_destinations,total_destination_airports,avg_nights,avg_rooms,avg_hotel_base_rate,avg_hotel_paid_rate,avg_total_hotel_cost,num_hotel_discounts,avg_hotel_discount_amount,total_hotels,total_trips,avg_trip_duration_days,avg_total_trip_cost,avg_trip_distance_km,type_browsing,type_complete-package,type_flight-hotel,type_flight-one-way,type_flight-roundtrip,type_hotel-only,status_cancelled,status_complete,status_none,start_Friday,start_Monday,start_Saturday,start_Sunday,start_Thursday,start_Tuesday,start_Wednesday,end_Friday,end_Monday,end_Saturday,end_Sunday,end_Thursday,end_Tuesday,end_Wednesday
23557,f,True,False,usa,new york,lga,66,3,8,1.25,10.25,6.5,0.0,0.0,,,0,,0,0,0,0,2.75,0.375,177.0,144.125,1160.375,2,0.175,2,2,2.75,,,6,0,0,0,0,2,0,2,6,0,0,0,0,1,1,0,0,0,2,0,0,0,0
94883,f,True,False,usa,kansas city,mci,52,2,8,1.125,9.125,5.125,0.375,0.125,432.04499999999996,432.04499999999996,0,,2,1,2,2,0.375,0.375,90.0,90.0,155.0,1,0.1,2,2,0.625,587.045,1453.67,6,2,0,0,0,0,0,2,6,0,1,0,1,0,0,0,0,1,0,0,0,0,1
101486,f,True,True,usa,tacoma,tcm,52,2,8,2.125,16.375,7.0,0.125,0.0,189.91,189.91,2,0.07500000000000001,1,1,1,1,1.25,0.375,198.5,198.5,938.0,0,,2,2,1.375,1201.91,965.34,6,1,0,0,0,1,0,2,6,0,0,2,0,0,0,0,0,0,0,0,1,0,1
101961,f,True,False,usa,boston,bos,44,2,8,1.75,15.75,8.22875,0.625,0.25,248.53199999999998,247.5386,2,0.15000000000000002,5,1,5,5,3.0,0.625,136.0,136.0,621.8,1,0.1,5,5,3.625,869.3385999999998,1321.682,3,5,0,0,0,0,0,5,3,1,0,1,0,1,1,1,0,2,0,0,0,2,1
106907,f,True,True,usa,miami,tnt,46,2,8,12.625,30.0,6.5962499999999995,1.5,1.25,13902.06,13902.06,0,,1,1,1,1,3.0,0.75,129.0,129.0,1548.0,0,,1,2,3.5,15450.06,13402.32,6,2,0,0,0,0,1,1,6,0,0,0,0,0,2,0,0,2,0,0,0,0,0
118043,f,False,True,usa,los angeles,lax,52,2,8,2.5,20.5,7.355,0.75,0.375,779.7633333333333,779.7633333333333,2,0.2,3,1,3,3,3.25,0.625,227.25,218.85,1574.4625,3,0.11666666666666665,3,5,4.0,2751.315,2455.0266666666666,3,2,0,0,1,2,0,5,3,1,0,1,1,0,0,2,0,3,0,0,1,1,0
120851,f,True,True,usa,santa ana,sna,52,2,8,0.75,6.875,5.8125,0.125,0.0,384.68,384.68,2,0.22499999999999998,1,1,1,1,1.375,0.125,182.0,182.0,2002.0,0,,1,1,1.625,2386.68,2249.83,7,1,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0
125845,f,True,False,usa,el paso,bif,41,2,9,2.2222222222222223,17.666666666666668,5.872222222222223,0.4444444444444444,0.2222222222222222,584.4399999999999,548.9209999999999,1,0.15,3,1,3,3,0.7777777777777778,0.4444444444444444,123.66666666666667,123.66666666666667,222.66666666666666,1,0.05,3,3,1.4444444444444444,771.5876666666667,2700.78,6,3,0,0,0,0,0,3,6,0,0,0,1,1,1,0,1,0,0,0,0,2,0
133058,f,False,False,usa,austin,aus,19,2,8,1.125,9.125,6.8125,0.125,0.0,423.51,423.51,0,,1,1,1,1,0.0,0.0,,,,1,0.05,0,1,0.625,,2708.29,7,0,0,0,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0
149058,f,False,True,usa,birmingham,bhm,51,2,8,2.125,17.75,7.21875,0.75,0.25,385.732,383.8265,1,0.05,5,1,5,5,3.75,0.75,168.6,168.6,1173.6,0,,5,5,4.75,1557.4265,1904.7540000000001,3,5,0,0,0,0,0,5,3,0,1,0,1,2,1,0,2,0,0,1,0,0,2
152583,f,False,False,usa,colorado springs,cos,38,2,8,2.375,18.625,7.625,0.125,0.25,367.83,367.83,1,0.15,1,1,1,1,0.375,0.125,213.0,213.0,639.0,1,0.15,1,1,0.75,1006.83,2178.79,7,1,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0
